ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSG00000006047,170.2360749,2.751139873,0.837268753,3.285850407,0.00101675,0.013710333,TRUE,17,7288263,7294639,-1,protein_coding,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000049089,281.6990279,1.773252858,0.473993441,3.741091553,1.83E-04,0.004118406,TRUE,1,40300489,40317813,-1,protein_coding,COL9A2,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
ENSG00000050165,840.1359572,-1.459852654,0.322712949,-4.523687877,6.08E-06,3.42E-04,TRUE,11,11956207,12009769,-1,protein_coding,DKK3,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]
ENSG00000075073,5.055519565,1.722635685,0.400066033,4.305878387,1.66E-05,7.10E-04,TRUE,10,69403903,69416918,-1,protein_coding,TACR2,tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]
ENSG00000076864,121.0284149,-1.499232167,0.487719686,-3.073962792,0.002112358,0.022649584,TRUE,1,21596221,21669357,-1,protein_coding,RAP1GAP,RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]
ENSG00000077935,125.327961,5.812167817,0.583563267,9.959790378,2.29E-23,1.66E-19,TRUE,22,45344063,45413619,-1,protein_coding,SMC1B,structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]
ENSG00000079435,72.55228253,1.11743822,0.295307882,3.783976958,1.54E-04,0.003599996,TRUE,19,42401514,42427388,-1,protein_coding,LIPE,"lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]"
ENSG00000108786,47.06871358,-1.543311809,0.484534104,-3.185145887,0.001446811,0.017592045,TRUE,17,42552922,42555214,1,protein_coding,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
ENSG00000115718,10.73238391,-1.788940494,0.578058748,-3.094738207,0.001969867,0.021653646,TRUE,2,127418427,127429242,1,protein_coding,PROC,"protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]"
ENSG00000128408,53.20640684,2.168486188,0.341108988,6.357165207,2.06E-10,9.80E-08,TRUE,22,45413693,45432509,1,protein_coding,RIBC2,RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
ENSG00000132016,94.07942503,1.784453769,0.338040418,5.278817779,1.30E-07,1.93E-05,TRUE,19,13882348,13906452,-1,protein_coding,BRME1,break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]
ENSG00000132182,1042.148828,1.675453535,0.357559055,4.685809277,2.79E-06,1.90E-04,TRUE,3,13316235,13420322,-1,protein_coding,NUP210,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
ENSG00000134363,824.0538692,-2.126844503,0.526912561,-4.03642779,5.43E-05,0.001699174,TRUE,5,53480626,53487134,1,protein_coding,FST,follistatin [Source:HGNC Symbol;Acc:HGNC:3971]
ENSG00000137142,24.17298068,2.565720339,0.74075263,3.463666862,5.33E-04,0.00883227,TRUE,9,38406528,38424454,-1,protein_coding,IGFBPL1,insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]
ENSG00000137745,265.4694001,-3.225775509,0.791276945,-4.076670664,4.57E-05,0.001501466,TRUE,11,102942995,102955732,-1,protein_coding,MMP13,matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]
ENSG00000149243,45.54744608,3.530698839,0.524395504,6.732893038,1.66E-11,1.05E-08,TRUE,11,75422394,75433203,-1,protein_coding,KLHL35,kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]
ENSG00000157060,8.348863073,4.781780005,0.910355735,5.252649952,1.50E-07,2.06E-05,TRUE,1,182899865,182953525,-1,protein_coding,SHCBP1L,SHC binding and spindle associated 1 like [Source:HGNC Symbol;Acc:HGNC:16788]
ENSG00000161860,19.88616142,3.749943973,0.530815497,7.064496028,1.61E-12,1.62E-09,TRUE,19,12898786,12919293,-1,protein_coding,SYCE2,synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]
ENSG00000163975,298.2935544,1.194886689,0.413779915,2.887734868,0.003880268,0.034388017,TRUE,3,196980590,197029835,-1,protein_coding,MELTF,melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]
ENSG00000178222,114.5303728,4.581043818,0.479347412,9.556834357,1.21E-21,7.06E-18,TRUE,4,1056250,1113564,-1,protein_coding,RNF212,ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]
ENSG00000178803,8.403855109,6.062844591,0.861287373,7.039281874,1.93E-12,1.87E-09,TRUE,22,24429206,24495074,-1,lncRNA,ADORA2A-AS1,ADORA2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37122]
ENSG00000196074,621.9194602,4.633001847,0.440048346,10.52839281,6.39E-26,6.20E-22,TRUE,20,59863564,59933655,-1,protein_coding,SYCP2,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]
ENSG00000196632,24.52839939,2.814308913,0.406327311,6.92621154,4.32E-12,3.49E-09,TRUE,X,54192823,54358642,-1,protein_coding,WNK3,WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]
ENSG00000203995,45.42456099,3.190421656,0.510939882,6.244221223,4.26E-10,1.85E-07,TRUE,1,52842511,52894998,1,protein_coding,ZYG11A,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
ENSG00000214694,19.74015272,3.808071233,0.596810329,6.380705979,1.76E-10,8.84E-08,TRUE,2,38889875,38975454,1,protein_coding,ARHGEF33,Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]
ENSG00000228594,79.89159416,-1.32054366,0.404020613,-3.268505659,0.00108117,0.014365882,TRUE,1,1598012,1600135,-1,protein_coding,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSG00000235109,166.3742943,-1.531467091,0.441631888,-3.467745721,5.25E-04,0.008743909,TRUE,6,28324693,28356271,-1,protein_coding,ZSCAN31,zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]
ENSG00000255571,228.6331431,3.728999281,0.497929081,7.489016861,6.94E-14,9.17E-11,TRUE,15,89361579,89424983,1,lncRNA,MIR9-3HG,MIR9-3 host gene [Source:HGNC Symbol;Acc:HGNC:27388]
ENSG00000269210,13.63376915,4.726783307,0.540822361,8.739992363,2.33E-18,9.69E-15,TRUE,2,38959287,38960377,-1,lncRNA,,"novel transcript, antisense to ARHGEF33"
ENSG00000288873,18.43729002,3.161083538,0.563579815,5.608936759,2.04E-08,4.26E-06,TRUE,9,136848770,136849648,-1,lncRNA,,"novel transcript, antisense to PHPT1and AJM1"
ENSG00000293480,109.6381766,2.597459118,0.853112485,3.044685388,0.002329238,0.024282518,TRUE,17,63849292,63864379,1,lncRNA,TCAM1P,"testicular cell adhesion molecule 1, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:146771]"
ENSG00000296074,25.94214905,3.745695897,0.555744162,6.739964455,1.58E-11,1.02E-08,TRUE,NA,NA,NA,NA,NA,NA,NA
ENSG00000305635,17.23777413,2.266832313,0.517005675,4.384540485,1.16E-05,5.49E-04,TRUE,NA,NA,NA,NA,NA,NA,NA
