ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSG00000006047,10.01513529,4.93153531,0.735093427,6.708719097,1.96E-11,6.75E-09,TRUE,17,7288263,7294639,-1,protein_coding,YBX2,Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000049089,8.581750768,2.824385883,0.855995762,3.299532553,9.68E-04,0.01126204,TRUE,1,40300489,40317813,-1,protein_coding,COL9A2,collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]
ENSG00000050165,146.9545497,-2.320431664,0.641005106,-3.619989359,2.95E-04,0.0046746,TRUE,11,11956207,12009769,-1,protein_coding,DKK3,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]
ENSG00000075073,9.048563623,6.49590264,0.726595029,8.940196919,3.88E-19,1.15E-15,TRUE,10,69403903,69416918,-1,protein_coding,TACR2,tachykinin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11527]
ENSG00000076864,47.50159119,2.629936087,0.777342473,3.383239919,7.16E-04,0.009056703,TRUE,1,21596221,21669357,-1,protein_coding,RAP1GAP,RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:9858]
ENSG00000077935,99.05598875,6.381252881,0.736432453,8.665089177,4.51E-18,9.72E-15,TRUE,22,45344063,45413619,-1,protein_coding,SMC1B,structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]
ENSG00000079435,8.786679499,1.469821074,0.508992374,2.88770746,0.003880606,0.029886214,TRUE,19,42401514,42427388,-1,protein_coding,LIPE,"lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]"
ENSG00000108786,21.65796841,-3.362813274,0.728374772,-4.616872254,3.90E-06,1.76E-04,TRUE,17,42552922,42555214,1,protein_coding,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5210]
ENSG00000115718,22.22813998,3.072448524,0.796607899,3.856914457,1.15E-04,0.002312486,TRUE,2,127418427,127429242,1,protein_coding,PROC,"protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]"
ENSG00000128408,84.22908211,3.773949759,0.682345445,5.530849201,3.19E-08,4.00E-06,TRUE,22,45413693,45432509,1,protein_coding,RIBC2,RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
ENSG00000132016,31.73899369,3.85237078,0.71417477,5.39415692,6.88E-08,7.25E-06,TRUE,19,13882348,13906452,-1,protein_coding,BRME1,break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]
ENSG00000132182,217.4409397,1.279057568,0.281250384,4.547754027,5.42E-06,2.31E-04,TRUE,3,13316235,13420322,-1,protein_coding,NUP210,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
ENSG00000134363,879.0321183,-1.24208582,0.407651767,-3.046928581,0.002311926,0.020790673,TRUE,5,53480626,53487134,1,protein_coding,FST,follistatin [Source:HGNC Symbol;Acc:HGNC:3971]
ENSG00000137142,69.56107117,4.399527181,1.083808982,4.059319726,4.92E-05,0.001242452,TRUE,9,38406528,38424454,-1,protein_coding,IGFBPL1,insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]
